Index,Line_breaks,Indents,Bolded,Italicized,Underlined,"DR/CR, Entered Accounts",Calculated_Accounts,Inherited_Accounts,账本名称,Account_name,Formula,_{t1},_{t0},Commentary
SCF_OA_IRC,1,1,0,0,0,0,1,0,收取利息的现金,Interest received,,,,"It is recommended you manually enter SCF accounts instead of just SFP_CCE,"
SCF_OA_IRC_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,since SCF accounts net out to equal this period's SFP_CCE anyways
SCF_OA_IRC_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCF_OA_IRC_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCF_OA_IRC_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCF_OA_DRC,1,1,0,0,0,0,1,0,收取股息的现金,Dividends received,,,,
SCF_OA_DRC_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCF_OA_DRC_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCF_OA_DRC_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCF_OA_DRC_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCF_OA_IPC,1,1,0,0,0,0,1,0,支付利息的现金,Interest paid,,,,
SCF_OA_IPC_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCF_OA_IPC_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCF_OA_IPC_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCF_OA_IPC_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCF_OA_DPSSC,1,1,0,0,0,0,1,0,支付股息的现金（针对空头仓位）,Dividends paid (on short sales),,,,
SCF_OA_DPSSC_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCF_OA_DPSSC_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCF_OA_DPSSC_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCF_OA_DPSSC_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCF_OA_PSI,1,1,0,0,0,0,1,0,出售资产收取的现金,Proceeds on sales of investments,,,,can be considered to the SFP_A_CCE what the IS is to the SFP_A_FA
SCF_OA_PSI_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
SCF_OA_PSI_CNY,0,2,0,0,0,1,0,0,?CNY,?CNY,,,,
SCF_OA_PSI_HKD,0,2,0,0,0,1,0,0,?HKD,?HKD,,,,
SCF_OA_PSI_USD,0,2,0,0,0,1,0,0,?USD,?USD,,,,
,,,,,,,,,,,,,,
SCF_OA_PPI,1,1,0,0,0,0,1,0,购买资产支付的现金,Payments for purchases of investments,,,,can be considered to the SFP_A_CCE what the IS is to the SFP_A_FA
SCF_OA_PPI_CAD,0,2,0,0,0,1,0,0,?CAD,?CAD,,,,
